date,test,result,units
2002-01-16,Hematocrit,7.9,%
2002-01-16,Hemoglobin,2.9,g/dL
2002-01-16,MCHC,36.7,g/dL
2002-01-16,Platelets,6.0,10^3/uL
2002-01-16,Platelets,6.0,nan
2002-01-16,WBC,1.6,10^3/uL
2002-01-16,WBC,1.6,nan
2002-01-19,ALT,2417.0,U/L
2002-01-19,AST,1115.0,U/L
2002-01-19,Albumin,4.2,g/dL
2002-01-19,BUN,26.0,mg/dL
2002-01-19,Chloride,100.0,mmol/L
2002-01-19,Creatinine,2.5,mg/dL
2002-01-19,Globulin,1.3,g/dL
2002-01-19,Glucose,44.0,mg/dL
2002-01-19,Hematocrit,6.0,%
2002-01-19,Hemoglobin,2.6,g/dL
2002-01-19,MCH,32.9,pg
2002-01-19,MCHC,43.1,g/dL
2002-01-19,MCV,76.3,fL
2002-01-19,Potassium,3.0,mmol/L
2002-01-19,RBC,0.79,10^6/uL
2002-01-19,Sodium,146.0,mmol/L
2002-01-19,Total Bilirubin,0.6,mg/dL
2002-01-19,WBC,0.0011899999999999999,10^3/uL
2002-01-23,Hematocrit,9.3,%
2002-01-23,Hematocrit,9.0,%
2002-01-23,Hemoglobin,3.3,g/dL
2002-01-23,MCH,28.9,nan
2002-01-23,MCHC,35.5,nan
2002-01-23,MCV,82.0,nan
2002-01-23,Platelets,0.248,10^3/uL
2002-01-23,RBC,1.14,10^6/uL
2002-01-23,WBC,0.0019,10^3/uL
2002-02-01,Basophils (Absolute),0.0001,10^3/uL
2002-02-01,Eosinophils (Absolute),0.0,10^3/uL
2002-02-01,Hematocrit,16.8,%
2002-02-01,Hemoglobin,5.5,g/dL
2002-02-01,MCH,29.5,pg
2002-02-01,MCHC,32.5,g/dL
2002-02-01,MCV,90.7,fL
2002-02-01,RBC,1.85,10^6/uL
2002-02-01,WBC,0.00322,10^3/uL
2002-02-12,Basophils (Absolute),8.8e-05,10^3/uL
2002-02-12,Eosinophils (Absolute),1e-05,10^3/uL
2002-02-12,Hematocrit,21.7,%
2002-02-12,Hematocrit,22.0,%
2002-02-12,Hemoglobin,6.7,g/dL
2002-02-12,MCH,28.8,pg
2002-02-12,MCHC,30.9,g/dL
2002-02-12,MCV,93.2,fL
2002-02-12,RBC,2.33,10^6/uL
2002-02-12,WBC,0.00413,10^3/uL
2002-02-12,WBC,4.1,nan
2002-03-11,Basophils (Absolute),0.0001,10^3/uL
2002-03-11,Eosinophils (Absolute),0.0001,10^3/uL
2002-03-11,Hematocrit,22.2,%
2002-03-11,Hemoglobin,7.3,g/dL
2002-03-11,MCH,29.7,pg
2002-03-11,MCHC,32.8,g/dL
2002-03-11,MCV,90.5,fL
2002-03-11,RBC,2.45,10^6/uL
2002-03-11,WBC,0.0024,10^3/uL
2002-04-12,Hematocrit,43.9,%
2002-04-12,Hemoglobin,13.6,g/dL
2002-04-12,MCH,26.6,nan
2002-04-12,MCHC,31.0,nan
2002-04-12,MCV,86.0,nan
2002-04-12,Platelets,0.40800000000000003,10^3/uL
2002-04-12,RBC,5.12,10^6/uL
2002-04-12,WBC,0.004200000000000001,10^3/uL
2004-05-03,ALT,256.0,U/L
2004-05-03,Albumin,5.68,g/dL
2004-05-03,Amylase,898.0,U/L
2004-05-03,BUN,95.2,mg/dL
2004-05-03,Calcium,8.93,mg/dL
2004-05-03,Cholesterol,184.0,mg/dL
2004-05-03,Creatinine,2.47,mg/dL
2004-05-03,Globulin,2.72,g/dL
2004-05-03,Glucose,242.3,mg/dL
2004-05-03,Phosphorus,5.51,mg/dL
2004-05-03,Total Bilirubin,0.58,mg/dL
2004-05-03,Total Protein,8.41,g/dL
2004-05-04,ALT,217.0,U/L
2004-05-04,BUN,23.2,mg/dL
2004-05-04,Chloride,120.5,mmol/L
2004-05-04,Creatinine,0.76,mg/dL
2004-05-04,Glucose,223.5,mg/dL
2004-05-04,Potassium,3.23,mmol/L
2004-05-04,Sodium,167.9,mmol/L
2004-05-04,Total Protein,7.57,g/dL
2004-05-06,ALT,102.0,U/L
2004-05-06,Albumin,4.87,g/dL
2004-05-06,BUN,20.3,mg/dL
2004-05-06,Calcium,10.36,mg/dL
2004-05-06,Chloride,118.7,mmol/L
2004-05-06,Cholesterol,155.5,mg/dL
2004-05-06,Creatinine,1.01,mg/dL
2004-05-06,Globulin,2.4,g/dL
2004-05-06,Glucose,106.5,mg/dL
2004-05-06,Hematocrit,31.0,%
2004-05-06,Hemoglobin,10.9,g/dL
2004-05-06,Lymphocytes (Absolute),3.0,%
2004-05-06,MCH,26.0,pg
2004-05-06,MCHC,35.0,%
2004-05-06,MCV,73.0,fL
2004-05-06,Monocytes (Absolute),3.0,%
2004-05-06,Phosphorus,1.95,mg/dL
2004-05-06,Potassium,1.96,mmol/L
2004-05-06,RBC,4.26,10^6/uL
2004-05-06,Sodium,167.1,mmol/L
2004-05-06,Total Bilirubin,0.5,mg/dL
2004-05-06,Total Protein,7.27,g/dL
2004-05-06,WBC,0.005200000000000001,10^3/uL
2004-05-09,Glucose,500.0,nan
2004-05-10,ALT,78.0,U/L
2004-05-10,Albumin,4.82,g/dL
2004-05-10,Amylase,1785.0,U/L
2004-05-10,BUN,6.3,mg/dL
2004-05-10,Calcium,8.73,mg/dL
2004-05-10,Chloride,109.6,mmol/L
2004-05-10,Cholesterol,159.9,mg/dL
2004-05-10,Creatinine,0.73,mg/dL
2004-05-10,Globulin,2.78,g/dL
2004-05-10,Glucose,152.4,mg/dL
2004-05-10,Phosphorus,6.9,mg/dL
2004-05-10,Potassium,3.82,mmol/L
2004-05-10,Sodium,164.0,mmol/L
2004-05-10,Total Bilirubin,0.23,mg/dL
2004-05-10,Total Protein,7.6,g/dL
2004-05-12,ALT,89.0,U/L
2004-05-12,Albumin,4.16,g/dL
2004-05-12,Amylase,740.0,U/L
2004-05-12,BUN,12.1,mg/dL
2004-05-12,Calcium,8.95,mg/dL
2004-05-12,Chloride,115.2,mmol/L
2004-05-12,Cholesterol,140.9,mg/dL
2004-05-12,Creatinine,0.58,mg/dL
2004-05-12,Eosinophils (Absolute),1.0,%
2004-05-12,Globulin,3.45,g/dL
2004-05-12,Glucose,179.3,mg/dL
2004-05-12,Hematocrit,21.0,%
2004-05-12,Hemoglobin,7.4,g/dL
2004-05-12,Lymphocytes (Absolute),17.0,%
2004-05-12,MCH,26.0,pg
2004-05-12,MCHC,35.0,%
2004-05-12,MCV,74.0,fL
2004-05-12,Monocytes (Absolute),2.0,%
2004-05-12,Phosphorus,5.28,mg/dL
2004-05-12,Potassium,5.16,mmol/L
2004-05-12,RBC,2.82,10^6/uL
2004-05-12,Sodium,162.4,mmol/L
2004-05-12,Total Bilirubin,0.25,mg/dL
2004-05-12,Total Protein,7.61,g/dL
2004-05-12,WBC,0.0094,10^3/uL
2005-06-13,% Lymphocytes,52.5,%
2005-06-13,% Monocytes,7.2,%
2005-06-13,ALT,146.0,U/L
2005-06-13,Albumin,5.9,g/dL
2005-06-13,Amylase,364.0,U/L
2005-06-13,BUN,27.0,mg/dL
2005-06-13,Calcium,9.5,mg/dL
2005-06-13,Chloride,118.0,mmol/L
2005-06-13,Cholesterol,180.0,mg/dL
2005-06-13,Creatinine,0.7,mg/dL
2005-06-13,Globulin,2.5,g/dL
2005-06-13,Glucose,228.0,mg/dL
2005-06-13,Hematocrit,44.6,%
2005-06-13,Hemoglobin,15.7,g/dL
2005-06-13,MCH,24.9,pg
2005-06-13,MCHC,35.2,g/dL
2005-06-13,MCV,70.8,fL
2005-06-13,Phosphorus,4.2,mg/dL
2005-06-13,Platelets,0.295,10^3/uL
2005-06-13,Potassium,3.2,mmol/L
2005-06-13,RBC,6.29,10^6/uL
2005-06-13,Sodium,160.0,mmol/L
2005-06-13,Total Protein,8.4,g/dL
2005-06-13,WBC,0.0056,10^3/uL
2007-08-16,% Basophils,0.0,%
2007-08-16,% Eosinophils,0.0,%
2007-08-16,% Lymphocytes,64.0,%
2007-08-16,% Monocytes,2.0,%
2007-08-16,% Neutrophils,34.0,%
2007-08-16,A:G Ratio,1.6,
2007-08-16,ALP,63.0,U/L
2007-08-16,ALT,157.0,U/L
2007-08-16,AST,91.0,U/L
2007-08-16,Albumin,5.0,g/dL
2007-08-16,Amylase,176.0,U/L
2007-08-16,BUN,15.0,mg/dL
2007-08-16,BUN:Creatinine Ratio,25.0,
2007-08-16,Bands (Absolute),0.0,nan
2007-08-16,Basophils (Absolute),0.0,nan
2007-08-16,Calcium,9.6,mg/dL
2007-08-16,Chloride,111.0,mmol/L
2007-08-16,Cholesterol,165.0,mg/dL
2007-08-16,Creatine Kinase,730.0,U/L
2007-08-16,Creatinine,0.6,mg/dL
2007-08-16,Eosinophils (Absolute),0.0,nan
2007-08-16,Globulin,3.2,g/dL
2007-08-16,Glucose,118.0,mg/dL
2007-08-16,Hematocrit,40.5,%
2007-08-16,Hemoglobin,14.5,g/dL
2007-08-16,Lipase,22.0,U/L
2007-08-16,Lymphocytes (Absolute),2944.0,nan
2007-08-16,MCH,25.1,pg
2007-08-16,MCHC,35.8,g/dL
2007-08-16,MCV,70.0,fL
2007-08-16,Magnesium,1.9,mmol/L
2007-08-16,Monocytes (Absolute),92.0,nan
2007-08-16,Neutrophils (Absolute),1564.0,nan
2007-08-16,Phosphorus,5.6,mg/dL
2007-08-16,Platelets,335.0,10^3/uL
2007-08-16,Potassium,4.6,mmol/L
2007-08-16,RBC,5.77,10^6/uL
2007-08-16,Sodium,147.0,mmol/L
2007-08-16,Total Bilirubin,0.3,mg/dL
2007-08-16,Total Protein,8.2,g/dL
2007-08-16,Triglycerides,109.0,mg/dL
2007-08-16,WBC,4.6,10^3/uL
2009-01-22,% Basophils,1.0,%
2009-01-22,% Eosinophils,2.0,%
