test,date,result,units
Hematocrit,2002-01-16,7.9,%
Hemoglobin,2002-01-16,2.9,g/dL
MCHC,2002-01-16,36.7,g/dL
Platelets,2002-01-16,6.0,10^3/uL
Platelets,2002-01-16,6.0,10^3/uL
WBC,2002-01-16,1.6,10^3/uL
WBC,2002-01-16,1.6,10^3/uL
ALT,2002-01-19,2417.0,U/L
AST,2002-01-19,1115.0,U/L
Albumin,2002-01-19,4.2,g/dL
BUN,2002-01-19,26.0,mg/dL
Chloride,2002-01-19,100.0,mmol/L
Creatinine,2002-01-19,2.5,mg/dL
Globulin,2002-01-19,1.3,g/dL
Glucose,2002-01-19,44.0,mg/dL
Hematocrit,2002-01-19,6.0,%
Hemoglobin,2002-01-19,2.6,g/dL
MCH,2002-01-19,32.9,pg
MCHC,2002-01-19,43.1,g/dL
MCV,2002-01-19,76.3,fL
Potassium,2002-01-19,3.0,mmol/L
RBC,2002-01-19,0.79,10^6/uL
Sodium,2002-01-19,146.0,mmol/L
Total Bilirubin,2002-01-19,0.6,mg/dL
WBC,2002-01-19,0.0011899999999999999,10^3/uL
Hematocrit,2002-01-23,9.3,%
Hematocrit,2002-01-23,9.0,%
Hemoglobin,2002-01-23,3.3,g/dL
MCH,2002-01-23,28.9,pg
MCHC,2002-01-23,35.5,g/dL
MCV,2002-01-23,82.0,fL
Platelets,2002-01-23,0.248,10^3/uL
RBC,2002-01-23,1.14,10^6/uL
WBC,2002-01-23,0.0019,10^3/uL
Basophils (Absolute),2002-02-01,0.0001,10^3/uL
Eosinophils (Absolute),2002-02-01,0.0,10^3/uL
Hematocrit,2002-02-01,16.8,%
Hemoglobin,2002-02-01,5.5,g/dL
MCH,2002-02-01,29.5,pg
MCHC,2002-02-01,32.5,g/dL
MCV,2002-02-01,90.7,fL
RBC,2002-02-01,1.85,10^6/uL
WBC,2002-02-01,0.00322,10^3/uL
Basophils (Absolute),2002-02-12,8.8e-05,10^3/uL
Eosinophils (Absolute),2002-02-12,1e-05,10^3/uL
Hematocrit,2002-02-12,21.7,%
Hematocrit,2002-02-12,22.0,%
Hemoglobin,2002-02-12,6.7,g/dL
MCH,2002-02-12,28.8,pg
MCHC,2002-02-12,30.9,g/dL
MCV,2002-02-12,93.2,fL
RBC,2002-02-12,2.33,10^6/uL
WBC,2002-02-12,0.00413,10^3/uL
WBC,2002-02-12,4.1,10^3/uL
Basophils (Absolute),2002-03-11,0.0001,10^3/uL
