date,test,result,units
2014-03-30,Total Protein,7.7,g/dL
2014-03-30,Albumin,4.7,g/dL
2014-03-30,Globulin,3.0,g/dL
2014-03-30,A/G Ratio,1.6,Ratio
2014-03-30,AST (SGOT),38,U/L
2014-03-30,ALT (SGPT),79,U/L
2014-03-30,Alk Phosphatase,86,U/L
2014-03-30,GGTP,88,U/L
2014-03-30,Total Bilirubin,0.1,mg/dL
2014-03-30,Urea Nitrogen,9,mg/dL
2014-03-30,Creatinine,0.5,mg/dL
2014-03-30,BUN/Creatinine Ratio,18,Ratio
2014-03-30,Phosphorus,3.7,mg/dL
2014-03-30,Glucose,93,mg/dL
2014-03-30,Calcium,9.5,mg/dL
2014-03-30,Magnesium,1.7,mEq/L
2014-03-30,Sodium,148,mEq/L
2014-03-30,Potassium,3.2,mEq/L
2014-03-30,Na/K Ratio,46,
2014-03-30,Chloride,111,mEq/L
2014-03-30,Cholesterol,195,mg/dL
2014-03-30,Triglycerides,168,mg/dL
2014-03-30,Amylase,54,U/L
2014-03-30,Lipase,5,U/L
2014-03-30,CPK,91,U/L
2014-03-30,WBC,5.7,10^3/uL
2014-03-30,RBC,5.3,10^6/uL
2014-03-30,Hemoglobin,14.2,g/dL
2014-03-30,Hematocrit,43,%
2014-03-30,MCV,81,fL
2014-03-30,MCH,26.8,pg
2014-03-30,MCHC,33.0,g/dL
2014-03-30,Platelet Count,381,10^3/uL
2014-03-30,Neutrophils (Absolute),3192,/uL
2014-03-30,% Neutrophils,56,%
2014-03-30,Bands (Absolute),0,/uL
2014-03-30,% Bands,0,%
2014-03-30,Lymphocytes (Absolute),2223,/uL
2014-03-30,% Lymphocytes,39,%
2014-03-30,Monocytes (Absolute),171,/uL
2014-03-30,% Monocytes,3,%
2014-03-30,Eosinophils (Absolute),114,/uL
2014-03-30,% Eosinophils,2,%
2014-03-30,Basophils (Absolute),0,/uL
2014-03-30,% Basophils,0,%
2013-03-17,Total Protein,7.6,g/dL
2013-03-17,Albumin,4.5,g/dL
2013-03-17,Globulin,3.1,g/dL
2013-03-17,A/G Ratio,1.5,Ratio
2013-03-17,AST (SGOT),23,U/L
2013-03-17,ALT (SGPT),45,U/L
2013-03-17,Alk Phosphatase,81,U/L
2013-03-17,GGTP,77,U/L
2013-03-17,Total Bilirubin,0.1,mg/dL
2013-03-17,Urea Nitrogen,13,mg/dL
2013-03-17,Creatinine,0.4,mg/dL
2013-03-17,BUN/Creatinine Ratio,33,Ratio
2013-03-17,Phosphorus,3.5,mg/dL
2013-03-17,Glucose,77,mg/dL
2013-03-17,Calcium,9.6,mg/dL
2013-03-17,Magnesium,1.6,mEq/L
2013-03-17,Sodium,146,mEq/L
2013-03-17,Potassium,3.7,mEq/L
2013-03-17,Na/K Ratio,39,
2013-03-17,Chloride,115,mEq/L
2013-03-17,Cholesterol,166,mg/dL
2013-03-17,Triglycerides,60,mg/dL
2013-03-17,Amylase,51,U/L
2013-03-17,Lipase,4,U/L
2013-03-17,CPK,243,U/L
2013-03-17,WBC,3.0,10^3/uL
2013-03-17,RBC,4.97,10^6/uL
2013-03-17,Hemoglobin,13.2,g/dL
2013-03-17,Hematocrit,37.2,%
2013-03-17,MCV,75,fL
2013-03-17,MCH,26.6,pg
2013-03-17,MCHC,35.5,g/dL
2013-03-17,Platelet Count,342,10^3/uL
2013-03-17,Neutrophils (Absolute),1800,/uL
2013-03-17,% Neutrophils,60,%
2013-03-17,Bands (Absolute),0,/uL
2013-03-17,% Bands,0,%
2013-03-17,Lymphocytes (Absolute),1050,/uL
2013-03-17,% Lymphocytes,35,%
2013-03-17,Monocytes (Absolute),120,/uL
2013-03-17,% Monocytes,4,%
2013-03-17,Eosinophils (Absolute),30,/uL
2013-03-17,% Eosinophils,1,%
2013-03-17,Basophils (Absolute),0,/uL
2013-03-17,% Basophils,0,%
2012-02-05,Total Protein,7.8,g/dL
2012-02-05,Albumin,4.8,g/dL
2012-02-05,Globulin,3.0,g/dL
2012-02-05,Albumin/Globulin Ratio,1.6,Ratio
2012-02-05,AST (SGOT),29,U/L
2012-02-05,ALT (SGPT),74,U/L
2012-02-05,Alk Phosphatase,94,U/L
2012-02-05,GGTP,93,U/L
2012-02-05,Total Bilirubin,0.1,mg/dL
2012-02-05,Urea Nitrogen,9,mg/dL
2012-02-05,Creatinine,0.6,mg/dL
2012-02-05,BUN/Creatinine Ratio,15,Ratio
2012-02-05,Phosphorus,3.4,mg/dL
2012-02-05,Glucose,97,mg/dL
2012-02-05,Calcium,9.8,mg/dL
2012-02-05,Magnesium,1.7,mEq/L
2012-02-05,Sodium,146,mEq/L
2012-02-05,Potassium,3.4,mEq/L
2012-02-05,Na/K Ratio,43,
2012-02-05,Chloride,112,mEq/L
2012-02-05,Cholesterol,183,mg/dL
2012-02-05,Triglycerides,210,mg/dL
2012-02-05,Amylase,69,U/L
2012-02-05,Lipase,7,U/L
2012-02-05,CPK,97,U/L
2012-02-05,WBC,6.2,10^3/uL
2012-02-05,RBC,5.41,10^6/uL
2012-02-05,Hemoglobin,14.2,g/dL
2012-02-05,Hematocrit,46.5,%
2012-02-05,MCV,86,fL
2012-02-05,MCH,26.2,pg
2012-02-05,MCHC,30.5,g/dL
2012-02-05,Platelet Count,488,10^3/uL
2012-02-05,Neutrophils (Absolute),3162,/uL
2012-02-05,% Neutrophils,51,%
2012-02-05,Bands (Absolute),0,/uL
2012-02-05,% Bands,0,%
2012-02-05,Lymphocytes (Absolute),2790,/uL
2012-02-05,% Lymphocytes,45,%
2012-02-05,Monocytes (Absolute),186,/uL
2012-02-05,% Monocytes,3,%
2012-02-05,Eosinophils (Absolute),62,/uL
