date,test,result,units
2004-10-20,% Lymphocytes,25.2,%
2004-10-20,ALT,99.0,U/L
2004-10-20,Albumin,5.59,g/dL
2004-10-20,Amylase,317.0,U/L
2004-10-20,BUN,13.6,mg/dL
2004-10-20,Calcium,10.02,mg/dL
2004-10-20,Chloride,119.8,mmol/L
2004-10-20,Cholesterol,194.4,mg/dL
2004-10-20,Creatinine,0.54,mg/dL
2004-10-20,Globulin,2.83,g/dL
2004-10-20,Glucose,154.7,mg/dL
2004-10-20,Hematocrit,45.0,%
2004-10-20,Hemoglobin,15.9,g/dL
2004-10-20,MCH,24.3,pg
2004-10-20,MCHC,35.4,g/dL
2004-10-20,MCV,68.6,fL
2004-10-20,Phosphorus,3.04,mg/dL
2004-10-20,Platelets,0.481,10^3/uL
2004-10-20,Potassium,3.23,mmol/L
2004-10-20,RBC,6.55,10^6/uL
2004-10-20,Sodium,158.4,mmol/L
2004-10-20,Total Bilirubin,0.25,mg/dL
2004-10-20,Total Protein,8.42,g/dL
2004-10-20,WBC,0.0094,10^3/uL
2006-03-10,A:G Ratio,1.5,
2006-03-10,ALP,80.0,U/L
2006-03-10,ALT,79.0,U/L
2006-03-10,AST,28.0,U/L
2006-03-10,Albumin,4.8,g/dL
2006-03-10,Amylase,36.0,U/L
2006-03-10,BUN,15.0,mg/dL
2006-03-10,BUN:Creatinine Ratio,30.0,
2006-03-10,Calcium,9.8,mg/dL
2006-03-10,Chloride,112.0,mmol/L
2006-03-10,Cholesterol,221.0,mg/dL
2006-03-10,Creatine Kinase,176.0,U/L
2006-03-10,Creatinine,0.5,mg/dL
2006-03-10,Globulin,3.1,g/dL
2006-03-10,Glucose,80.0,mg/dL
2006-03-10,Lipase,4.0,U/L
2006-03-10,Magnesium,1.5,mmol/L
2006-03-10,Phosphorus,4.2,mg/dL
2006-03-10,Potassium,3.7,mmol/L
2006-03-10,Sodium,146.0,mmol/L
2006-03-10,Total Bilirubin,0.2,mg/dL
2006-03-10,Total Protein,7.9,g/dL
2006-03-10,Triglycerides,47.0,mg/dL
2007-06-15,% Basophils,1.0,%
2007-06-15,% Eosinophils,3.0,%
2007-06-15,% Lymphocytes,35.0,%
2007-06-15,% Monocytes,5.0,%
2007-06-15,% Neutrophils,56.0,%
2007-06-15,A:G Ratio,1.5,
2007-06-15,ALP,69.0,U/L
2007-06-15,ALT,72.0,U/L
2007-06-15,AST,45.0,U/L
2007-06-15,Albumin,5.4,g/dL
2007-06-15,Amylase,93.0,U/L
2007-06-15,BUN,30.0,mg/dL
2007-06-15,BUN:Creatinine Ratio,100.0,
2007-06-15,Bands (Absolute),0.0,nan
2007-06-15,Basophils (Absolute),46.0,nan
2007-06-15,Calcium,10.5,mg/dL
2007-06-15,Chloride,120.0,mmol/L
2007-06-15,Cholesterol,213.0,mg/dL
2007-06-15,Creatine Kinase,2313.0,U/L
2007-06-15,Creatinine,0.3,mg/dL
2007-06-15,Eosinophils (Absolute),138.0,nan
2007-06-15,Globulin,3.6,g/dL
2007-06-15,Glucose,105.0,mg/dL
2007-06-15,Hematocrit,44.8,%
2007-06-15,Hemoglobin,14.7,g/dL
2007-06-15,Lipase,9.0,U/L
2007-06-15,Lymphocytes (Absolute),1610.0,nan
2007-06-15,MCH,26.1,pg
2007-06-15,MCHC,32.8,g/dL
2007-06-15,MCV,80.0,fL
2007-06-15,Magnesium,1.2,mmol/L
2007-06-15,Monocytes (Absolute),230.0,nan
2007-06-15,Neutrophils (Absolute),2576.0,nan
2007-06-15,Phosphorus,5.4,mg/dL
2007-06-15,Platelets,312.0,10^3/uL
2007-06-15,Potassium,4.8,mmol/L
2007-06-15,RBC,5.63,10^6/uL
2007-06-15,Sodium,156.0,mmol/L
2007-06-15,Total Bilirubin,0.3,mg/dL
2007-06-15,Total Protein,9.0,g/dL
2007-06-15,Triglycerides,135.0,mg/dL
2007-06-15,WBC,4.6,10^3/uL
2007-10-18,% Basophils,1.0,%
2007-10-18,% Eosinophils,1.0,%
2007-10-18,% Lymphocytes,31.0,%
2007-10-18,% Monocytes,5.0,%
2007-10-18,% Neutrophils,62.0,%
2007-10-18,A:G Ratio,1.3,
2007-10-18,ALP,72.0,U/L
2007-10-18,ALT,30.0,U/L
2007-10-18,AST,17.0,U/L
2007-10-18,Albumin,4.9,g/dL
2007-10-18,Amylase,88.0,U/L
2007-10-18,BUN,23.0,mg/dL
2007-10-18,BUN:Creatinine Ratio,33.0,
2007-10-18,Bands (Absolute),0.0,nan
2007-10-18,Basophils (Absolute),35.0,nan
2007-10-18,Calcium,9.8,mg/dL
2007-10-18,Chloride,114.0,mmol/L
2007-10-18,Cholesterol,199.0,mg/dL
2007-10-18,Creatine Kinase,116.0,U/L
2007-10-18,Creatinine,0.7,mg/dL
2007-10-18,Eosinophils (Absolute),35.0,nan
2007-10-18,Globulin,3.8,g/dL
2007-10-18,Glucose,96.0,mg/dL
