test,date,result,units
% Lymphocytes,2004-10-20,25.2,%
ALT,2004-10-20,99.0,U/L
Albumin,2004-10-20,5.59,g/dL
Amylase,2004-10-20,317.0,U/L
BUN,2004-10-20,13.6,mg/dL
Calcium,2004-10-20,10.02,mg/dL
Chloride,2004-10-20,119.8,mmol/L
Cholesterol,2004-10-20,194.4,mg/dL
Creatinine,2004-10-20,0.54,mg/dL
Globulin,2004-10-20,2.83,g/dL
Glucose,2004-10-20,154.7,mg/dL
Hematocrit,2004-10-20,45.0,%
Hemoglobin,2004-10-20,15.9,g/dL
MCH,2004-10-20,24.3,pg
MCHC,2004-10-20,35.4,g/dL
MCV,2004-10-20,68.6,fL
Phosphorus,2004-10-20,3.04,mg/dL
Platelets,2004-10-20,0.481,10^3/uL
Potassium,2004-10-20,3.23,mmol/L
RBC,2004-10-20,6.55,10^6/uL
Sodium,2004-10-20,158.4,mmol/L
Total Bilirubin,2004-10-20,0.25,mg/dL
Total Protein,2004-10-20,8.42,g/dL
WBC,2004-10-20,0.0094,10^3/uL
A:G Ratio,2006-03-10,1.5,
ALP,2006-03-10,80.0,U/L
ALT,2006-03-10,79.0,U/L
AST,2006-03-10,28.0,U/L
Albumin,2006-03-10,4.8,g/dL
Amylase,2006-03-10,36.0,U/L
BUN,2006-03-10,15.0,mg/dL
BUN:Creatinine Ratio,2006-03-10,30.0,
Calcium,2006-03-10,9.8,mg/dL
Chloride,2006-03-10,112.0,mmol/L
Cholesterol,2006-03-10,221.0,mg/dL
Creatine Kinase,2006-03-10,176.0,U/L
Creatinine,2006-03-10,0.5,mg/dL
Globulin,2006-03-10,3.1,g/dL
Glucose,2006-03-10,80.0,mg/dL
Lipase,2006-03-10,4.0,U/L
Magnesium,2006-03-10,1.5,mmol/L
Phosphorus,2006-03-10,4.2,mg/dL
Potassium,2006-03-10,3.7,mmol/L
Sodium,2006-03-10,146.0,mmol/L
Total Bilirubin,2006-03-10,0.2,mg/dL
Total Protein,2006-03-10,7.9,g/dL
Triglycerides,2006-03-10,47.0,mg/dL
% Basophils,2007-06-15,1.0,%
% Eosinophils,2007-06-15,3.0,%
% Lymphocytes,2007-06-15,35.0,%
% Monocytes,2007-06-15,5.0,%
% Neutrophils,2007-06-15,56.0,%
A:G Ratio,2007-06-15,1.5,
ALP,2007-06-15,69.0,U/L
ALT,2007-06-15,72.0,U/L
AST,2007-06-15,45.0,U/L
Albumin,2007-06-15,5.4,g/dL
Amylase,2007-06-15,93.0,U/L
BUN,2007-06-15,30.0,mg/dL
BUN:Creatinine Ratio,2007-06-15,100.0,
Bands (Absolute),2007-06-15,0.0,10^3/uL
Basophils (Absolute),2007-06-15,46.0,10^3/uL
Calcium,2007-06-15,10.5,mg/dL
Chloride,2007-06-15,120.0,mmol/L
Cholesterol,2007-06-15,213.0,mg/dL
Creatine Kinase,2007-06-15,2313.0,U/L
Creatinine,2007-06-15,0.3,mg/dL
Eosinophils (Absolute),2007-06-15,138.0,10^3/uL
Globulin,2007-06-15,3.6,g/dL
Glucose,2007-06-15,105.0,mg/dL
Hematocrit,2007-06-15,44.8,%
Hemoglobin,2007-06-15,14.7,g/dL
Lipase,2007-06-15,9.0,U/L
Lymphocytes (Absolute),2007-06-15,1610.0,10^3/uL
MCH,2007-06-15,26.1,pg
MCHC,2007-06-15,32.8,g/dL
MCV,2007-06-15,80.0,fL
Magnesium,2007-06-15,1.2,mmol/L
Monocytes (Absolute),2007-06-15,230.0,10^3/uL
Neutrophils (Absolute),2007-06-15,2576.0,10^3/uL
Phosphorus,2007-06-15,5.4,mg/dL
Platelets,2007-06-15,312.0,10^3/uL
Potassium,2007-06-15,4.8,mmol/L
RBC,2007-06-15,5.63,10^6/uL
Sodium,2007-06-15,156.0,mmol/L
Total Bilirubin,2007-06-15,0.3,mg/dL
Total Protein,2007-06-15,9.0,g/dL
Triglycerides,2007-06-15,135.0,mg/dL
WBC,2007-06-15,4.6,10^3/uL
% Basophils,2007-10-18,1.0,%
% Eosinophils,2007-10-18,1.0,%
% Lymphocytes,2007-10-18,31.0,%
% Monocytes,2007-10-18,5.0,%
% Neutrophils,2007-10-18,62.0,%
A:G Ratio,2007-10-18,1.3,
ALP,2007-10-18,72.0,U/L
ALT,2007-10-18,30.0,U/L
AST,2007-10-18,17.0,U/L
Albumin,2007-10-18,4.9,g/dL
Amylase,2007-10-18,88.0,U/L
BUN,2007-10-18,23.0,mg/dL
BUN:Creatinine Ratio,2007-10-18,33.0,
Bands (Absolute),2007-10-18,0.0,10^3/uL
Basophils (Absolute),2007-10-18,35.0,10^3/uL
Calcium,2007-10-18,9.8,mg/dL
Chloride,2007-10-18,114.0,mmol/L
Cholesterol,2007-10-18,199.0,mg/dL
Creatine Kinase,2007-10-18,116.0,U/L
Creatinine,2007-10-18,0.7,mg/dL
Eosinophils (Absolute),2007-10-18,35.0,10^3/uL
Globulin,2007-10-18,3.8,g/dL
Glucose,2007-10-18,96.0,mg/dL
Hematocrit,2007-10-18,41.1,%
Hemoglobin,2007-10-18,14.0,g/dL
Lipase,2007-10-18,2.0,U/L
Lymphocytes (Absolute),2007-10-18,1085.0,10^3/uL
MCH,2007-10-18,26.7,pg
MCHC,2007-10-18,34.1,g/dL
MCV,2007-10-18,78.0,fL
Magnesium,2007-10-18,2.0,mmol/L
Monocytes (Absolute),2007-10-18,175.0,10^3/uL
Neutrophils (Absolute),2007-10-18,2170.0,10^3/uL
Phosphorus,2007-10-18,3.9,mg/dL
Platelets,2007-10-18,337.0,10^3/uL
Potassium,2007-10-18,3.5,mmol/L
RBC,2007-10-18,5.24,10^6/uL
Sodium,2007-10-18,148.0,mmol/L
Total Bilirubin,2007-10-18,0.2,mg/dL
Total Protein,2007-10-18,8.7,g/dL
Triglycerides,2007-10-18,182.0,mg/dL
WBC,2007-10-18,3.5,10^3/uL
% Lymphocytes,2008-10-15,31.0,%
% Monocytes,2008-10-15,2.0,%
% Neutrophils,2008-10-15,67.0,%
A:G Ratio,2008-10-15,1.3,
ALP,2008-10-15,86.0,U/L
ALT,2008-10-15,79.0,U/L
AST,2008-10-15,27.0,U/L
Albumin,2008-10-15,4.6,g/dL
Amylase,2008-10-15,76.0,U/L
BUN,2008-10-15,23.0,mg/dL
BUN:Creatinine Ratio,2008-10-15,46.0,
Bands (Absolute),2008-10-15,0.0,10^3/uL
Basophils (Absolute),2008-10-15,0.0,10^3/uL
Calcium,2008-10-15,10.3,mg/dL
Chloride,2008-10-15,120.0,mmol/L
Cholesterol,2008-10-15,215.0,mg/dL
Creatine Kinase,2008-10-15,856.0,U/L
Creatinine,2008-10-15,0.5,mg/dL
Eosinophils (Absolute),2008-10-15,0.0,10^3/uL
Globulin,2008-10-15,3.6,g/dL
Glucose,2008-10-15,87.0,mg/dL
Hematocrit,2008-10-15,48.7,%
