date,test,result,units
2024-03-29,RBC,6.26,M/μL
2024-03-29,Hematocrit,44.2,%
2024-03-29,Hemoglobin,15.7,g/dL
2024-03-29,MCV,71,fL
2024-03-29,MCH,25.1,pg
2024-03-29,MCHC,35.5,g/dL
2024-03-29,WBC,10.2,K/μL
2024-03-29,% Neutrophils,60.0,%
2024-03-29,% Lymphocytes,30.0,%
2024-03-29,% Monocytes,5.0,%
2024-03-29,% Eosinophils,4.0,%
2024-03-29,% Basophils,1.0,%
2024-03-29,Neutrophils,6.12,K/μL
2024-03-29,Lymphocytes,3.06,K/μL
2024-03-29,Monocytes,0.51,K/μL
2024-03-29,Eosinophils,0.408,K/μL
2024-03-29,Basophils,0.102,K/μL
2024-03-29,Platelets,441,K/μL
2024-03-29,Glucose,97,mg/dL
2024-03-29,IDEXX SDMA,5,µg/dL
2024-03-29,Creatinine,0.5,mg/dL
2024-03-29,BUN,19,mg/dL
2024-03-29,BUN: Creatinine Ratio,38.0,
2024-03-29,Phosphorus,3.3,mg/dL
2024-03-29,Calcium,10.8,mg/dL
2024-03-29,Sodium,149,mmol/L
2024-03-29,Potassium,4.3,mmol/L
2024-03-29,Na: K Ratio,35,
2024-03-29,Chloride,115,mmol/L
2024-03-29,TCO2 (Bicarbonate),17,mmol/L
2024-03-29,Anion Gap,21,mmol/L
2024-03-29,Total Protein,7.4,g/dL
2024-03-29,Albumin,4.7,g/dL
2024-03-29,Globulin,2.7,g/dL
2024-03-29,Albumin: Globulin Ratio,1.7,
2024-03-29,ALT,52,U/L
2024-03-29,AST,42,U/L
2024-03-29,ALP,101,U/L
2024-03-29,GGT,65,U/L
2024-03-29,Bilirubin - Total,<0.1,mg/dL
2024-03-29,Bilirubin - Unconjugated,0.0,mg/dL
2024-03-29,Bilirubin - Conjugated,0.1,mg/dL
2024-03-29,Cholesterol,211,mg/dL
2024-03-29,Amylase,127,U/L
2024-03-29,Lipase,17,U/L
2024-03-29,Creatine Kinase,2604,U/L
2023-01-26,RBC,6.28,M/μL
2023-01-26,Hematocrit,44.8,%
2023-01-26,Hemoglobin,15.7,g/dL
2023-01-26,MCV,71,fL
2023-01-26,MCH,25.0,pg
