date,test,result,units
1997-09-30,Glucose,122.0,mg/dL
2003-09-30,% Basophils,3.0,%
2003-09-30,% Eosinophils,8.0,%
2003-09-30,% Lymphocytes,56.0,%
2003-09-30,% Monocytes,6.0,%
2003-09-30,% Neutrophils,27.0,%
2003-09-30,ALP,36.0,U/L
2003-09-30,ALT,58.0,U/L
2003-09-30,AST,36.0,U/L
2003-09-30,Albumin,4.4,g/dL
2003-09-30,BUN,19.0,mg/dL
2003-09-30,Basophils (Absolute),318.0,nan
2003-09-30,Calcium,8.8,mg/dL
2003-09-30,Chloride,105.0,mmol/L
2003-09-30,Cholesterol,154.0,mg/dL
2003-09-30,Creatine Kinase,460.0,U/L
2003-09-30,Creatinine,0.7,mg/dL
2003-09-30,Eosinophils (Absolute),848.0,nan
2003-09-30,Fructosamine,195.0,umol/L
2003-09-30,Globulin,2.5,g/dL
2003-09-30,Glucose,117.0,mg/dL
2003-09-30,Hematocrit,36.1,%
2003-09-30,Hemoglobin,12.2,g/dL
2003-09-30,Lymphocytes (Absolute),5936.0,nan
2003-09-30,MCH,25.1,nan
2003-09-30,MCHC,33.8,nan
2003-09-30,MCV,74.0,nan
2003-09-30,Monocytes (Absolute),636.0,nan
2003-09-30,Neutrophils (Absolute),2862.0,nan
2003-09-30,Phosphorus,5.5,mg/dL
2003-09-30,Platelets,0.635,10^3/uL
2003-09-30,Potassium,3.1,mmol/L
2003-09-30,RBC,4.87,10^6/uL
2003-09-30,Sodium,145.0,mmol/L
2003-09-30,Total Bilirubin,0.1,mg/dL
2003-09-30,Total Protein,6.9,g/dL
2003-09-30,WBC,0.0106,10^3/uL
2006-07-14,% Eosinophils,5.0,%
2006-07-14,% Lymphocytes,20.0,%
2006-07-14,% Monocytes,4.0,%
2006-07-14,% Neutrophils,70.0,%
2006-07-14,A:G Ratio,1.4,
2006-07-14,ALP,33.0,U/L
2006-07-14,ALT,63.0,U/L
2006-07-14,AST,103.0,U/L
2006-07-14,Albumin,3.7,g/dL
2006-07-14,Amylase,71.0,U/L
2006-07-14,BUN,20.0,mg/dL
2006-07-14,BUN:Creatinine Ratio,25.0,
2006-07-14,Calcium,10.3,mg/dL
2006-07-14,Chloride,116.0,mmol/L
2006-07-14,Cholesterol,130.0,mg/dL
2006-07-14,Creatine Kinase,6562.0,U/L
2006-07-14,Creatinine,0.8,mg/dL
2006-07-14,Eosinophils (Absolute),625.0,nan
2006-07-14,Globulin,2.7,g/dL
2006-07-14,Glucose,114.0,mg/dL
2006-07-14,Hematocrit,34.5,%
2006-07-14,Hemoglobin,11.1,g/dL
2006-07-14,Lipase,127.0,U/L
2006-07-14,Lymphocytes (Absolute),2500.0,nan
2006-07-14,MCH,23.9,pg
2006-07-14,MCHC,32.2,g/dL
2006-07-14,MCV,74.0,fL
2006-07-14,Magnesium,1.5,mmol/L
2006-07-14,Monocytes (Absolute),500.0,nan
2006-07-14,Neutrophils (Absolute),8750.0,nan
2006-07-14,Phosphorus,5.7,mg/dL
2006-07-14,Platelets,442.0,10^3/uL
2006-07-14,Potassium,3.8,mmol/L
2006-07-14,RBC,4.65,10^6/uL
2006-07-14,Sodium,149.0,mmol/L
2006-07-14,Total Bilirubin,0.1,mg/dL
2006-07-14,Total Protein,6.4,g/dL
2006-07-14,Triglycerides,98.0,mg/dL
2006-07-14,WBC,12.5,10^3/uL
2007-08-28,ALT,128.0,U/L
2007-08-28,AST,73.0,U/L
2007-08-28,Albumin,5.1,g/dL
2007-08-28,Amylase,378.0,U/L
2007-08-28,BUN,19.0,mg/dL
2007-08-28,Basophils (Absolute),0.0,%
2007-08-28,Calcium,10.9,mg/dL
2007-08-28,Cholesterol,188.0,mg/dL
2007-08-28,Creatine Kinase,331.0,U/L
2007-08-28,Creatinine,0.6,mg/dL
2007-08-28,Eosinophils (Absolute),2.0,%
2007-08-28,Glucose,118.0,mg/dL
2007-08-28,Hematocrit,37.0,%
2007-08-28,Hemoglobin,13.9,g/dL
2007-08-28,Lymphocytes (Absolute),66.0,%
2007-08-28,MCH,23.0,pg
2007-08-28,MCHC,38.0,%
2007-08-28,MCV,61.0,fL
2007-08-28,Monocytes (Absolute),1.0,%
2007-08-28,Phosphorus,2.2,mg/dL
2007-08-28,RBC,6.03,10^6/uL
2007-08-28,Total Protein,188.0,g/dL
2007-08-28,WBC,0.0094,10^3/uL
2009-06-02,ALP,27.0,nan
2009-06-02,ALT,99.0,nan
2009-06-02,AST,24.0,nan
2009-06-02,Albumin,3.7,nan
2009-06-02,BUN,28.0,nan
2009-06-02,Calcium,9.7,nan
2009-06-02,Chloride,113.0,nan
2009-06-02,Cholesterol,113.0,nan
2009-06-02,Creatine Kinase,538.0,nan
2009-06-02,Creatinine,0.8,nan
2009-06-02,Eosinophils (Absolute),1.0,nan
2009-06-02,Globulin,3.0,nan
2009-06-02,Glucose,119.0,nan
2009-06-02,Lymphocytes (Absolute),27.0,nan
2009-06-02,Monocytes (Absolute),5.0,nan
2009-06-02,Na:K Ratio,53.0,nan
2009-06-02,Neutrophils (Absolute),67.0,nan
2009-06-02,Phosphorus,3.0,nan
2009-06-02,Potassium,2.8,nan
2009-06-02,RBC,5.75,nan
2009-06-02,Sodium,149.0,nan
2009-06-02,Total Bilirubin,0.2,nan
2009-06-02,Total Protein,6.7,nan
2009-06-02,WBC,11.4,nan
2009-09-22,ALP,65.0,nan
2009-09-22,ALT,68.0,nan
2009-09-22,AST,27.0,nan
2009-09-22,Albumin,4.9,nan
2009-09-22,BUN,15.0,nan
2009-09-22,Calcium,11.0,nan
2009-09-22,Chloride,118.0,nan
2009-09-22,Cholesterol,206.0,nan
2009-09-22,Creatine Kinase,525.0,nan
2009-09-22,Creatinine,0.7,nan
2009-09-22,Eosinophils (Absolute),2.0,nan
2009-09-22,Globulin,2.8,nan
2009-09-22,Glucose,77.0,nan
2009-09-22,Hematocrit,42.7,nan
2009-09-22,Hemoglobin,14.6,nan
2009-09-22,Lymphocytes (Absolute),29.0,nan
2009-09-22,MCH,25.4,nan
2009-09-22,MCHC,34.2,nan
2009-09-22,MCV,74.0,nan
2009-09-22,Monocytes (Absolute),3.0,nan
2009-09-22,Na:K Ratio,49.0,nan
2009-09-22,Neutrophils (Absolute),66.0,nan
2009-09-22,Phosphorus,3.2,nan
2009-09-22,Platelets,396.0,nan
2009-09-22,Potassium,3.0,nan
2009-09-22,Sodium,146.0,nan
2009-09-22,Total Bilirubin,0.1,nan
2009-09-22,Total Protein,7.7,nan
2009-09-22,WBC,11.4,nan
2011-03-31,% Eosinophils,2.0,%
2011-03-31,% Lymphocytes,29.0,%
2011-03-31,% Monocytes,3.0,%
2011-03-31,% Neutrophils,66.0,%
2011-03-31,ALP,68.0,U/L
2011-03-31,ALT,39.0,U/L
2011-03-31,AST,20.0,U/L
2011-03-31,Albumin,4.5,g/dL
2011-03-31,BUN,16.0,mg/dL
2011-03-31,Calcium,10.8,mg/dL
2011-03-31,Chloride,112.0,mmol/L
2011-03-31,Cholesterol,182.0,mg/dL
2011-03-31,Creatine Kinase,430.0,U/L
2011-03-31,Creatinine,0.6,mg/dL
2011-03-31,Globulin,2.5,g/dL
2011-03-31,Glucose,65.0,mg/dL
2011-03-31,Hematocrit,48.6,%
2011-03-31,Hemoglobin,17.0,g/dL
2011-03-31,MCH,24.7,pg
2011-03-31,MCHC,35.0,g/dL
2011-03-31,MCV,71.0,fL
2011-03-31,Na:K Ratio,62.0,nan
2011-03-31,Phosphorus,1.8,mg/dL
2011-03-31,Platelets,475.0,nan
2011-03-31,Potassium,2.3,mmol/L
2011-03-31,RBC,0.00688,10^3/uL
2011-03-31,Sodium,143.0,mmol/L
2011-03-31,Total Bilirubin,0.1,mg/dL
2011-03-31,Total Protein,7.0,g/dL
