date,test,result,units
2024-01-26,RBC,6.00,M/μL
2024-01-26,Hematocrit,43.4,%
2024-01-26,Hemoglobin,14.4,g/dL
2024-01-26,MCV,72,fL
2024-01-26,MCH,24.0,pg
2024-01-26,MCHC,33.2,g/dL
2024-01-26,WBC,5.9,K/μL
2024-01-26,% Neutrophils,50.0,%
2024-01-26,% Bands,1.0,%
2024-01-26,% Lymphocytes,24.0,%
2024-01-26,% Monocytes,3.0,%
2024-01-26,% Eosinophils,8.0,%
2024-01-26,% Basophils,1.0,%
2024-01-26,% Unclassified,13.0,%
2024-01-26,Neutrophils,2.95,K/μL
2024-01-26,Bands,59,/uL
2024-01-26,Lymphocytes,1.416,K/μL
2024-01-26,Monocytes,0.177,K/μL
2024-01-26,Eosinophils,0.472,K/uL
2024-01-26,Basophils,0.059,K/μL
2024-01-26,Unclassified,767,<= 0 /uL
2024-01-26,Platelets,494,K/μL
2024-01-26,Glucose,198,mg/dL
2024-01-26,IDEXX SDMA,6,µg/dL
2024-01-26,Creatinine,0.5,mg/dL
2024-01-26,BUN,33,mg/dL
2024-01-26,BUN: Creatinine Ratio,66.0,
2024-01-26,Phosphorus,2.4,mg/dL
2024-01-26,Calcium,9.2,mg/dL
2024-01-26,Sodium,148,mmol/L
2024-01-26,Potassium,3.7,mmol/L
2024-01-26,Na: K Ratio,40,
2024-01-26,Chloride,109,mmol/L
2024-01-26,TCO2 (Bicarbonate),17,mmol/L
2024-01-26,Anion Gap,26,mmol/L
2024-01-26,Total Protein,6.8,g/dL
2024-01-26,Albumin,4.1,g/dL
2024-01-26,Globulin,2.7,g/dL
2024-01-26,Albumin: Globulin Ratio,1.5,
2024-01-26,ALT,17,U/L
2024-01-26,AST,21,U/L
2024-01-26,ALP,87,U/L
2024-01-26,GGT,45,U/L
2024-01-26,Bilirubin - Total,0.1,mg/dL
2024-01-26,Bilirubin - Unconjugated,0.0,mg/dL
2024-01-26,Bilirubin - Conjugated,<0.1,mg/dL
2024-01-26,Cholesterol,179,mg/dL
2024-01-26,Amylase,72,U/L
2024-01-26,Lipase,15,U/L
2024-01-26,Creatine Kinase,121,U/L
2022-10-06,RBC,5.75,M/μL
2022-10-06,Hematocrit,41.8,%
2022-10-06,Hemoglobin,14.4,g/dL
2022-10-06,MCV,73,fL
2022-10-06,MCH,25.0,pg
2022-10-06,MCHC,34.4,g/dL
2022-10-06,WBC,6.7,K/μL
2022-10-06,% Neutrophils,57.6,%
2022-10-06,% Lymphocytes,38.7,%
2022-10-06,% Monocytes,2.8,%
2022-10-06,% Eosinophils,0.0,%
2022-10-06,% Basophils,0.9,%
2022-10-06,Neutrophils,3.859,K/μL
2022-10-06,Lymphocytes,2.593,K/μL
2022-10-06,Monocytes,0.188,K/μL
2022-10-06,Eosinophils,0,K/μL
2022-10-06,Basophils,0.06,K/μL
2022-10-06,Platelets,464,K/μL
2022-04-14,RBC,5.88,M/μL
2022-04-14,Hematocrit,42.7,%
2022-04-14,Hemoglobin,14.2,g/dL
2022-04-14,MCV,73,fL
2022-04-14,MCH,24.1,pg
2022-04-14,MCHC,33.3,g/dL
2022-04-14,WBC,4.9,K/μL
2022-04-14,% Neutrophils,56.8,%
2022-04-14,% Lymphocytes,36.7,%
2022-04-14,% Monocytes,5.1,%
2022-04-14,% Eosinophils,0.2,%
2022-04-14,% Basophils,1.2,%
2022-04-14,Neutrophils,2.783,K/μL
2022-04-14,Lymphocytes,1.798,K/μL
2022-04-14,Monocytes,0.25,K/μL
2022-04-14,Eosinophils,0.01,K/μL
2022-04-14,Basophils,0.059,K/μL
2022-04-14,Platelets,468,K/μL
2022-04-14,Glucose,106,mg/dL
2022-04-14,IDEXX SDMA,7,µg/dL
2022-04-14,Creatinine,0.5,mg/dL
2022-04-14,BUN,25,mg/dL
2022-04-14,BUN: Creatinine Ratio,50.0,
2022-04-14,Phosphorus,3.2,mg/dL
2022-04-14,Calcium,9.4,mg/dL
2022-04-14,Sodium,151,mmol/L
2022-04-14,Potassium,4.1,mmol/L
2022-04-14,Na: K Ratio,37,
2022-04-14,Chloride,115,mmol/L
2022-04-14,TCO2 (Bicarbonate),14,mmol/L
2022-04-14,Anion Gap,26,mmol/L
2022-04-14,Total Protein,7.6,g/dL
2022-04-14,Albumin,4.8,g/dL
2022-04-14,Globulin,2.8,g/dL
2022-04-14,Albumin: Globulin Ratio,1.7,
2022-04-14,ALT,30,U/L
2022-04-14,AST,33,U/L
2022-04-14,ALP,116,U/L
2022-04-14,GGT,60,U/L
2022-04-14,Bilirubin - Total,<0.1,mg/dL
2022-04-14,Bilirubin - Unconjugated,0.0,mg/dL
2022-04-14,Bilirubin - Conjugated,0.1,mg/dL
2022-04-14,Cholesterol,193,mg/dL
2022-04-14,Amylase,87,U/L
2022-04-14,Lipase,14,U/L
2022-04-14,Creatine Kinase,232,U/L
2022-03-17,RBC,5.79,M/μL
2022-03-17,Hematocrit,42.4,%
2022-03-17,Hemoglobin,14.3,g/dL
2022-03-17,MCV,73,fL
2022-03-17,MCH,24.7,pg
2022-03-17,MCHC,33.7,g/dL
