date,test,result,units
1994-06-14,% Basophils,0.0,%
1994-06-14,% Eosinophils,2.0,%
1994-06-14,% Neutrophils,36.0,%
1994-06-14,Hematocrit,41.1,%
1994-06-14,Hemoglobin,14.0,g/dL
1994-06-14,MCH,23.0,pg
1994-06-14,MCHC,34.0,g/dL
1994-06-14,MCV,67.6,fL
1994-06-14,RBC,0.006070000000000001,10^3/uL
1994-06-14,WBC,0.0079,/uL
2004-10-15,% Lymphocytes,40.3,%
2004-10-15,ALT,27.0,U/L
2004-10-15,Albumin,3.76,g/dL
2004-10-15,Amylase,358.0,U/L
2004-10-15,BUN,17.5,mg/dL
2004-10-15,Calcium,9.61,mg/dL
2004-10-15,Chloride,127.0,mmol/L
2004-10-15,Cholesterol,154.9,mg/dL
2004-10-15,Creatinine,0.83,mg/dL
2004-10-15,Globulin,2.44,g/dL
2004-10-15,Glucose,172.0,mg/dL
2004-10-15,Hematocrit,42.9,%
2004-10-15,Hemoglobin,14.9,g/dL
2004-10-15,MCH,22.9,pg
2004-10-15,MCHC,34.8,g/dL
2004-10-15,MCV,66.0,fL
2004-10-15,Phosphorus,7.67,mg/dL
2004-10-15,Platelets,0.23800000000000002,10^3/uL
2004-10-15,Potassium,4.02,mmol/L
2004-10-15,RBC,6.5,10^6/uL
2004-10-15,Sodium,163.8,mmol/L
2004-10-15,Total Protein,6.2,g/dL
2004-10-15,WBC,0.010199999999999999,10^3/uL
2007-01-12,% Eosinophils,11.0,%
2007-01-12,% Eosinophils,1.0,%
2007-01-12,% Lymphocytes,46.0,%
2007-01-12,% Lymphocytes,63.0,%
2007-01-12,% Monocytes,3.0,%
2007-01-12,% Monocytes,3.0,%
2007-01-12,% Neutrophils,40.0,%
2007-01-12,% Neutrophils,33.0,%
2007-01-12,A:G Ratio,1.7,
2007-01-12,A:G Ratio,1.5,nan
2007-01-12,ALP,97.0,U/L
2007-01-12,ALP,192.0,U/L
2007-01-12,ALT,39.0,U/L
2007-01-12,ALT,32.0,U/L
2007-01-12,AST,34.0,U/L
2007-01-12,AST,22.0,U/L
2007-01-12,Albumin,3.5,g/dL
2007-01-12,Albumin,4.4,g/dL
2007-01-12,Amylase,62.0,U/L
2007-01-12,Amylase,387.0,nan
2007-01-12,BUN,26.0,mg/dL
2007-01-12,BUN:Creatinine Ratio,43.0,
2007-01-12,BUN:Creatinine Ratio,33.0,nan
2007-01-12,Basophils (Absolute),0.0,nan
2007-01-12,Basophils (Absolute),0.0,nan
2007-01-12,Calcium,8.5,mg/dL
2007-01-12,Calcium,9.9,mg/dL
2007-01-12,Chloride,117.0,mmol/L
2007-01-12,Chloride,108.0,mmol/L
2007-01-12,Cholesterol,169.0,mg/dL
2007-01-12,Cholesterol,174.0,mg/dL
2007-01-12,Creatine Kinase,110.0,U/L
2007-01-12,Creatine Kinase,304.0,nan
2007-01-12,Creatinine,0.6,mg/dL
2007-01-12,Creatinine,0.7,mg/dL
2007-01-12,Eosinophils (Absolute),726.0,nan
2007-01-12,Eosinophils (Absolute),45.0,nan
2007-01-12,Globulin,2.1,g/dL
2007-01-12,Globulin,2.9,nan
2007-01-12,Glucose,113.0,mg/dL
2007-01-12,Glucose,89.0,mg/dL
2007-01-12,Hematocrit,40.6,%
2007-01-12,Hematocrit,40.0,%
2007-01-12,Hemoglobin,12.9,g/dL
2007-01-12,Lipase,29.0,U/L
2007-01-12,Lipase,4.0,nan
2007-01-12,Lymphocytes (Absolute),3036.0,nan
2007-01-12,Lymphocytes (Absolute),2835.0,nan
2007-01-12,MCH,24.0,pg
2007-01-12,MCH,25.2,nan
2007-01-12,MCHC,31.8,g/dL
2007-01-12,MCHC,35.3,nan
2007-01-12,MCV,75.0,fL
2007-01-12,MCV,71.0,nan
2007-01-12,Magnesium,1.8,mmol/L
2007-01-12,Magnesium,1.6,nan
2007-01-12,Monocytes (Absolute),198.0,nan
2007-01-12,Monocytes (Absolute),135.0,nan
2007-01-12,Neutrophils (Absolute),2640.0,nan
2007-01-12,Neutrophils (Absolute),1485.0,nan
2007-01-12,Phosphorus,5.4,mg/dL
2007-01-12,Phosphorus,3.9,mg/dL
2007-01-12,Platelets,0.453,10^3/uL
2007-01-12,Platelets,337.0,nan
2007-01-12,Potassium,4.0,mmol/L
2007-01-12,Potassium,3.6,mmol/L
2007-01-12,RBC,5.38,10^6/uL
2007-01-12,RBC,5.6,10^6/uL
2007-01-12,Sodium,149.0,mmol/L
2007-01-12,Sodium,142.0,mmol/L
2007-01-12,Total Bilirubin,0.1,mg/dL
2007-01-12,Total Bilirubin,0.1,mg/dL
2007-01-12,Total Protein,5.6,g/dL
2007-01-12,Total Protein,7.3,g/dL
2007-01-12,Triglycerides,119.0,mg/dL
2007-01-12,Triglycerides,101.0,nan
2007-01-12,WBC,0.0066,10^3/uL
2007-01-12,WBC,0.0045000000000000005,10^3/uL
2008-08-28,% Basophils,1.0,%
2008-08-28,% Eosinophils,7.0,%
2008-08-28,% Lymphocytes,41.0,%
2008-08-28,% Monocytes,3.0,%
2008-08-28,% Neutrophils,48.0,%
2008-08-28,A:G Ratio,1.6,
2008-08-28,ALP,98.0,U/L
2008-08-28,ALT,27.0,U/L
2008-08-28,AST,25.0,U/L
2008-08-28,Albumin,3.9,g/dL
2008-08-28,Amylase,67.0,U/L
2008-08-28,BUN,27.0,mg/dL
2008-08-28,BUN:Creatinine Ratio,45.0,
2008-08-28,Basophils (Absolute),59.0,nan
2008-08-28,Calcium,8.9,mg/dL
2008-08-28,Chloride,116.0,mmol/L
2008-08-28,Cholesterol,173.0,mg/dL
2008-08-28,Creatine Kinase,126.0,U/L
2008-08-28,Creatinine,0.6,mg/dL
2008-08-28,Eosinophils (Absolute),413.0,nan
2008-08-28,Globulin,2.4,g/dL
2008-08-28,Glucose,124.0,mg/dL
2008-08-28,Hematocrit,41.7,%
2008-08-28,Hemoglobin,13.2,g/dL
2008-08-28,Lipase,23.0,U/L
2008-08-28,Lymphocytes (Absolute),2419.0,nan
2008-08-28,MCH,25.2,pg
2008-08-28,MCHC,31.7,g/dL
2008-08-28,MCV,80.0,fL
2008-08-28,Magnesium,2.1,mmol/L
2008-08-28,Monocytes (Absolute),177.0,nan
2008-08-28,Neutrophils (Absolute),2832.0,nan
2008-08-28,Phosphorus,6.3,mg/dL
2008-08-28,Platelets,0.53,10^3/uL
2008-08-28,Potassium,3.9,mmol/L
2008-08-28,RBC,5.23,10^6/uL
2008-08-28,Sodium,149.0,mmol/L
2008-08-28,Total Bilirubin,0.1,mg/dL
2008-08-28,Total Protein,6.3,g/dL
2008-08-28,Triglycerides,72.0,mg/dL
2008-08-28,WBC,0.005900000000000001,10^3/uL
2009-01-22,% Lymphocytes,44.0,%
2009-01-22,% Monocytes,4.0,%
2009-01-22,% Neutrophils,45.0,%
2009-01-22,A:G Ratio,1.6,
2009-01-22,ALP,116.0,U/L
2009-01-22,ALT,33.0,U/L
2009-01-22,AST,35.0,U/L
2009-01-22,Albumin,3.8,g/dL
2009-01-22,Amylase,64.0,U/L
2009-01-22,BUN,25.0,mg/dL
2009-01-22,BUN:Creatinine Ratio,42.0,
2009-01-22,Calcium,8.5,mg/dL
2009-01-22,Chloride,119.0,mmol/L
2009-01-22,Cholesterol,180.0,mg/dL
2009-01-22,Creatine Kinase,93.0,U/L
2009-01-22,Creatinine,0.6,mg/dL
2009-01-22,Globulin,2.4,g/dL
2009-01-22,Glucose,147.0,mg/dL
2009-01-22,Hematocrit,43.7,%
2009-01-22,Hemoglobin,13.5,g/dL
2009-01-22,Lipase,18.0,U/L
2009-01-22,Lymphocytes (Absolute),3036.0,nan
2009-01-22,MCH,24.5,pg
2009-01-22,MCHC,30.9,g/dL
2009-01-22,MCV,79.0,fL
2009-01-22,Magnesium,1.8,mmol/L
2009-01-22,Monocytes (Absolute),276.0,nan
2009-01-22,Neutrophils (Absolute),3105.0,nan
2009-01-22,Phosphorus,5.6,mg/dL
2009-01-22,Platelets,0.528,10^3/uL
2009-01-22,Potassium,3.7,mmol/L
2009-01-22,RBC,5.52,10^6/uL
2009-01-22,Sodium,153.0,mmol/L
2009-01-22,Total Bilirubin,0.1,mg/dL
2009-01-22,Total Protein,6.2,g/dL
2009-01-22,Triglycerides,147.0,mg/dL
2009-01-22,WBC,0.006900000000000001,10^3/uL
2009-08-20,% Basophils,1.0,%
2009-08-20,% Eosinophils,7.0,%
2009-08-20,% Lymphocytes,39.0,%
2009-08-20,% Monocytes,3.0,%
2009-08-20,% Neutrophils,50.0,%
2009-08-20,A:G Ratio,1.8,
2009-08-20,ALP,118.0,U/L
2009-08-20,ALT,43.0,U/L
2009-08-20,AST,49.0,U/L
2009-08-20,Albumin,4.3,g/dL
2009-08-20,Amylase,73.0,U/L
2009-08-20,BUN,28.0,mg/dL
2009-08-20,BUN:Creatinine Ratio,47.0,
2009-08-20,Basophils (Absolute),55.0,nan
2009-08-20,Calcium,8.9,mg/dL
2009-08-20,Chloride,115.0,mmol/L
2009-08-20,Cholesterol,178.0,mg/dL
2009-08-20,Creatine Kinase,543.0,U/L
2009-08-20,Creatinine,0.6,mg/dL
2009-08-20,Eosinophils (Absolute),385.0,nan
2009-08-20,Globulin,2.4,g/dL
2009-08-20,Glucose,106.0,mg/dL
2009-08-20,Hematocrit,40.0,%
2009-08-20,Hemoglobin,13.3,g/dL
2009-08-20,Lipase,20.0,U/L
2009-08-20,Lymphocytes (Absolute),2145.0,nan
2009-08-20,MCH,25.1,pg
2009-08-20,MCHC,33.3,g/dL
2009-08-20,MCV,75.0,fL
2009-08-20,Magnesium,2.2,mmol/L
2009-08-20,Monocytes (Absolute),165.0,nan
2009-08-20,Na:K Ratio,39.0,nan
2009-08-20,Neutrophils (Absolute),2750.0,nan
2009-08-20,Phosphorus,4.7,mg/dL
2009-08-20,Platelets,0.445,10^3/uL
2009-08-20,Potassium,3.8,mmol/L
2009-08-20,RBC,5.3,10^6/uL
