test,date,result,units
% Basophils,1994-06-14,0.0,%
% Eosinophils,1994-06-14,2.0,%
% Neutrophils,1994-06-14,36.0,%
Hematocrit,1994-06-14,41.1,%
Hemoglobin,1994-06-14,14.0,g/dL
MCH,1994-06-14,23.0,pg
MCHC,1994-06-14,34.0,g/dL
MCV,1994-06-14,67.6,fL
RBC,1994-06-14,0.00607,10^6/uL
WBC,1994-06-14,0.0079,10^3/uL
% Lymphocytes,2004-10-15,40.3,%
ALT,2004-10-15,27.0,U/L
Albumin,2004-10-15,3.76,g/dL
Amylase,2004-10-15,358.0,U/L
BUN,2004-10-15,17.5,mg/dL
Calcium,2004-10-15,9.61,mg/dL
Chloride,2004-10-15,127.0,mmol/L
Cholesterol,2004-10-15,154.9,mg/dL
Creatinine,2004-10-15,0.83,mg/dL
Globulin,2004-10-15,2.44,g/dL
Glucose,2004-10-15,172.0,mg/dL
Hematocrit,2004-10-15,42.9,%
Hemoglobin,2004-10-15,14.9,g/dL
MCH,2004-10-15,22.9,pg
MCHC,2004-10-15,34.8,g/dL
MCV,2004-10-15,66.0,fL
Phosphorus,2004-10-15,7.67,mg/dL
Platelets,2004-10-15,0.238,10^3/uL
Potassium,2004-10-15,4.02,mmol/L
RBC,2004-10-15,6.5,10^6/uL
Sodium,2004-10-15,163.8,mmol/L
Total Protein,2004-10-15,6.2,g/dL
WBC,2004-10-15,0.0101999999999999,10^3/uL
% Eosinophils,2007-01-12,11.0,%
% Eosinophils,2007-01-12,1.0,%
% Lymphocytes,2007-01-12,46.0,%
% Lymphocytes,2007-01-12,63.0,%
% Monocytes,2007-01-12,3.0,%
% Monocytes,2007-01-12,3.0,%
% Neutrophils,2007-01-12,40.0,%
% Neutrophils,2007-01-12,33.0,%
ALP,2007-01-12,97.0,U/L
ALP,2007-01-12,192.0,U/L
ALT,2007-01-12,39.0,U/L
ALT,2007-01-12,32.0,U/L
AST,2007-01-12,34.0,U/L
AST,2007-01-12,22.0,U/L
Albumin,2007-01-12,3.5,g/dL
Albumin,2007-01-12,4.4,g/dL
Amylase,2007-01-12,62.0,U/L
