date,test,result,units
2025-01-17,RBC,4.59,M/μL
2025-01-17,Hematocrit,34.7,%
2025-01-17,Hemoglobin,12.0,g/dL
2025-01-17,MCV,76,fL
2025-01-17,MCH,26.1,pg
2025-01-17,MCHC,34.6,g/dL
2025-01-17,WBC,8.7,K/μL
2025-01-17,% Neutrophils,46.0,%
2025-01-17,% Lymphocytes,49.0,%
2025-01-17,% Monocytes,2.0,%
2025-01-17,% Eosinophils,3.0,%
2025-01-17,% Basophils,0.0,%
2025-01-17,Neutrophils,4.002,K/μL
2025-01-17,Lymphocytes,4.263,K/μL
2025-01-17,Monocytes,0.174,K/μL
2025-01-17,Eosinophils,0.261,K/μL
2025-01-17,Basophils,0,K/μL
2025-01-17,Nucleated RBCs,26,per 100 WBC
2025-01-17,Platelets,396,K/μL
2025-01-17,Glucose,168,mg/dL
2025-01-17,IDEXX SDMA,6,µg/dL
2025-01-17,Creatinine,0.5,mg/dL
2025-01-17,BUN,11,mg/dL
2025-01-17,BUN: Creatinine Ratio,22.0,
2025-01-17,Phosphorus,5.0,mg/dL
2025-01-17,Calcium,9.6,mg/dL
2025-01-17,Sodium,144,mmol/L
2025-01-17,Potassium,4.8,mmol/L
2025-01-17,Na: K Ratio,30,
2025-01-17,Chloride,105,mmol/L
2025-01-17,TCO2 (Bicarbonate),16,mmol/L
2025-01-17,Anion Gap,28,mmol/L
2025-01-17,Total Protein,7.8,g/dL
2025-01-17,Albumin,4.7,g/dL
2025-01-17,Globulin,3.1,g/dL
2025-01-17,Albumin: Globulin Ratio,1.5,
2025-01-17,ALT,46,U/L
2025-01-17,AST,28,U/L
2025-01-17,ALP,97,U/L
2025-01-17,GGT,56,U/L
2025-01-17,Bilirubin - Total,<0.1,mg/dL
2025-01-17,Bilirubin - Unconjugated,0.0,mg/dL
2025-01-17,Bilirubin - Conjugated,0.1,mg/dL
2025-01-17,Cholesterol,267,mg/dL
2025-01-17,Amylase,158,U/L
2025-01-17,Lipase,22,U/L
2025-01-17,Creatine Kinase,383,U/L
2025-01-17,Fructosamine,473,μmol/L
2024-08-17,RBC,5.62,M/μL
2024-08-17,Hematocrit,42.4,%
2024-08-17,Hemoglobin,14.8,g/dL
2024-08-17,MCV,75,fL
2024-08-17,MCH,26.3,pg
2024-08-17,MCHC,34.9,g/dL
2024-08-17,WBC,11.8,K/μL
2024-08-17,% Neutrophils,61.8,%
2024-08-17,% Lymphocytes,34.8,%
2024-08-17,% Monocytes,2.8,%
2024-08-17,% Eosinophils,0.2,%
2024-08-17,% Basophils,0.4,%
2024-08-17,Neutrophils,7.292,K/μL
2024-08-17,Lymphocytes,4.106,K/μL
2024-08-17,Monocytes,0.33,K/μL
2024-08-17,Eosinophils,0.024,K/μL
2024-08-17,Basophils,0.047,K/μL
2024-08-17,Platelets,365,K/μL
2024-08-17,Glucose,151,mg/dL
2024-08-17,IDEXX SDMA,5,µg/dL
2024-08-17,Creatinine,0.6,mg/dL
2024-08-17,BUN,15,mg/dL
2024-08-17,BUN: Creatinine Ratio,25.0,
2024-08-17,Phosphorus,4.1,mg/dL
2024-08-17,Calcium,9.7,mg/dL
2024-08-17,Sodium,144,mmol/L
2024-08-17,Potassium,3.8,mmol/L
2024-08-17,Na: K Ratio,38,
2024-08-17,Chloride,104,mmol/L
2024-08-17,TCO2 (Bicarbonate),18,mmol/L
2024-08-17,Anion Gap,26,mmol/L
2024-08-17,Total Protein,8.1,g/dL
2024-08-17,Albumin,4.6,g/dL
2024-08-17,Globulin,3.5,g/dL
2024-08-17,Albumin: Globulin Ratio,1.3,
2024-08-17,ALT,87,U/L
2024-08-17,AST,49,U/L
2024-08-17,ALP,143,U/L
2024-08-17,GGT,49,U/L
2024-08-17,Bilirubin - Total,0.1,mg/dL
2024-08-17,Bilirubin - Unconjugated,0.0,mg/dL
2024-08-17,Bilirubin - Conjugated,0.1,mg/dL
2024-08-17,Cholesterol,267,mg/dL
2024-08-17,Amylase,187,U/L
2024-08-17,Lipase,33,U/L
2024-08-17,Creatine Kinase,2904,U/L
2023-01-26,RBC,4.92,M/μL
2023-01-26,Hematocrit,39.8,%
2023-01-26,Hemoglobin,13.6,g/dL
2023-01-26,MCV,81,fL
2023-01-26,MCH,27.6,pg
2023-01-26,MCHC,34.2,g/dL
2023-01-26,WBC,6.1,K/μL
2023-01-26,% Neutrophils,32.0,%
2023-01-26,% Lymphocytes,63.0,%
2023-01-26,% Monocytes,4.0,%
2023-01-26,% Eosinophils,0.0,%
2023-01-26,% Basophils,1.0,%
2023-01-26,Neutrophils,1.952,K/μL
2023-01-26,Lymphocytes,3.843,K/μL
2023-01-26,Monocytes,0.244,K/μL
2023-01-26,Eosinophils,0,K/μL
2023-01-26,Basophils,0.061,K/μL
2023-01-26,Nucleated RBC,5,per 100 WBC
2023-01-26,Platelets,294,K/μL
2022-01-20,RBC,6.12,M/μL
2022-01-20,Hematocrit,45.3,%
2022-01-20,Hemoglobin,15.4,g/dL
2022-01-20,MCV,74,fL
2022-01-20,MCH,25.2,pg
2022-01-20,MCHC,34.0,g/dL
2022-01-20,WBC,8.0,K/μL
2022-01-20,% Neutrophils,39.6,%
2022-01-20,% Lymphocytes,54.6,%
2022-01-20,% Monocytes,4.9,%
2022-01-20,% Eosinophils,0.1,%
2022-01-20,% Basophils,0.8,%
2022-01-20,Neutrophils,3.168,K/μL
2022-01-20,Lymphocytes,4.368,K/μL
2022-01-20,Monocytes,0.392,K/μL
2022-01-20,Eosinophils,0.008,K/μL
2022-01-20,Basophils,0.064,K/μL
2022-01-20,Platelets,318,K/μL
2022-01-20,Glucose,161,mg/dL
2022-01-20,IDEXX SDMA,6,µg/dL
2022-01-20,Creatinine,0.6,mg/dL
2022-01-20,BUN,13,mg/dL
2022-01-20,BUN: Creatinine Ratio,21.7,
2022-01-20,Phosphorus,4.7,mg/dL
2022-01-20,Calcium,10.1,mg/dL
2022-01-20,Sodium,150,mmol/L
2022-01-20,Potassium,4.1,mmol/L
2022-01-20,Na: K Ratio,37,
2022-01-20,Chloride,109,mmol/L
2022-01-20,TCO2 (Bicarbonate),15,mmol/L
2022-01-20,Anion Gap,30,mmol/L
2022-01-20,Total Protein,8.3,g/dL
2022-01-20,Albumin,4.9,g/dL
2022-01-20,Globulin,3.4,g/dL
2022-01-20,Albumin: Globulin Ratio,1.4,
2022-01-20,ALT,164,U/L
2022-01-20,AST,39,U/L
2022-01-20,ALP,153,U/L
2022-01-20,GGT,89,U/L
2022-01-20,Bilirubin - Total,0.1,mg/dL
2022-01-20,Bilirubin - Unconjugated,0.0,mg/dL
2022-01-20,Bilirubin - Conjugated,<0.1,mg/dL
2022-01-20,Cholesterol,199,mg/dL
2022-01-20,Amylase,172,U/L
2022-01-20,Lipase,29,U/L
2022-01-20,Creatine Kinase,317,U/L
2019-07-11,RBC,5.53,M/μL
2019-07-11,Hematocrit,41.4,%
2019-07-11,Hemoglobin,13.8,g/dL
2019-07-11,MCV,75,fL
2019-07-11,MCH,25.0,pg
2019-07-11,MCHC,33.3,g/dL
2019-07-11,WBC,5.2,K/μL
2019-07-11,% Neutrophils,38.7,%
2019-07-11,% Lymphocytes,55.5,%
2019-07-11,% Monocytes,4.6,%
2019-07-11,% Eosinophils,0.2,%
2019-07-11,% Basophils,1.0,%
2019-07-11,Neutrophils,2.012,K/μL
2019-07-11,Lymphocytes,2.886,K/μL
2019-07-11,Monocytes,0.239,K/μL
2019-07-11,Eosinophils,0.01,K/μL
2019-07-11,Basophils,0.052,K/μL
2019-07-11,Platelets,397,K/μL
2019-07-11,Glucose,123,mg/dL
2019-07-11,IDEXX SDMA,5,µg/dL
2019-07-11,Creatinine,0.5,mg/dL
2019-07-11,BUN,11,mg/dL
2019-07-11,BUN: Creatinine Ratio,22.0,
2019-07-11,Phosphorus,4.2,mg/dL
2019-07-11,Calcium,9.5,mg/dL
2019-07-11,Sodium,146,mmol/L
2019-07-11,Potassium,4.3,mmol/L
2019-07-11,Na: K Ratio,34,
2019-07-11,Chloride,113,mmol/L
2019-07-11,TCO2 (Bicarbonate),13,mmol/L
