test,date,result,units
A:G Ratio,1994-06-29,1.48,
ALP,1994-06-29,1133.0,U/L
Albumin,1994-06-29,4.3,g/dL
Amylase,1994-06-29,220.0,U/L
BUN,1994-06-29,22.0,mg/dL
BUN:Creatinine Ratio,1994-06-29,31.0,
Calcium,1994-06-29,9.8,mg/dL
Chloride,1994-06-29,107.0,mmol/L
Cholesterol,1994-06-29,149.0,mg/dL
Creatinine,1994-06-29,0.7,mg/dL
GGT,1994-06-29,73.0,U/L
Globulin,1994-06-29,2.9,g/dL
Glucose,1994-06-29,26.0,mg/dL
Hematocrit,1994-06-29,41.4,%
Hemoglobin,1994-06-29,13.8,g/dL
MCH,1994-06-29,24.2,pg
MCHC,1994-06-29,33.3,g/dL
MCV,1994-06-29,73.0,fL
Phosphorus,1994-06-29,8.4,mg/dL
Potassium,1994-06-29,3.9,mmol/L
Sodium,1994-06-29,144.0,mmol/L
Total Protein,1994-06-29,7.2,g/dL
Triglycerides,1994-06-29,43.0,mg/dL
% Lymphocytes,2005-06-10,31.9,%
% Monocytes,2005-06-10,8.5,%
Hematocrit,2005-06-10,48.8,%
Hemoglobin,2005-06-10,16.3,g/dL
MCH,2005-06-10,23.6,pg
MCHC,2005-06-10,33.4,g/dL
MCV,2005-06-10,70.9,fL
Platelets,2005-06-10,0.275,10^3/uL
RBC,2005-06-10,6.89,10^6/uL
WBC,2005-06-10,0.016300000000000002,10^3/uL
% Lymphocytes,2005-08-25,51.3,%
% Monocytes,2005-08-25,6.4,%
ALT,2005-08-25,140.0,U/L
Albumin,2005-08-25,5.7,g/dL
Amylase,2005-08-25,423.0,U/L
BUN,2005-08-25,15.0,mg/dL
Calcium,2005-08-25,9.6,mg/dL
Chloride,2005-08-25,119.0,mmol/L
Cholesterol,2005-08-25,195.0,mg/dL
Creatinine,2005-08-25,0.8,mg/dL
Globulin,2005-08-25,2.6,g/dL
Glucose,2005-08-25,186.0,mg/dL
Hematocrit,2005-08-25,39.5,%
Hemoglobin,2005-08-25,13.6,g/dL
MCH,2005-08-25,24.5,pg
MCHC,2005-08-25,34.4,g/dL
MCV,2005-08-25,71.3,fL
Phosphorus,2005-08-25,6.1,mg/dL
Platelets,2005-08-25,0.325,10^3/uL
Potassium,2005-08-25,3.2,mmol/L
RBC,2005-08-25,5.54,10^6/uL
Sodium,2005-08-25,165.0,mmol/L
Total Protein,2005-08-25,8.3,g/dL
WBC,2005-08-25,0.0167,10^3/uL
% Basophils,2007-03-15,1.0,%
% Eosinophils,2007-03-15,0.0,%
% Lymphocytes,2007-03-15,59.0,%
% Monocytes,2007-03-15,4.0,%
% Neutrophils,2007-03-15,36.0,%
A:G Ratio,2007-03-15,1.6,
ALP,2007-03-15,143.0,U/L
ALT,2007-03-15,147.0,U/L
AST,2007-03-15,55.0,U/L
Albumin,2007-03-15,4.9,g/dL
Amylase,2007-03-15,148.0,U/L
BUN,2007-03-15,24.0,mg/dL
BUN:Creatinine Ratio,2007-03-15,34.0,
Basophils (Absolute),2007-03-15,74.0,10^3/uL
Calcium,2007-03-15,10.1,mg/dL
Chloride,2007-03-15,106.0,mmol/L
Cholesterol,2007-03-15,184.0,mg/dL
Creatine Kinase,2007-03-15,188.0,U/L
Creatinine,2007-03-15,0.7,mg/dL
Eosinophils (Absolute),2007-03-15,0.0,10^3/uL
Globulin,2007-03-15,3.0,g/dL
Glucose,2007-03-15,99.0,mg/dL
Hematocrit,2007-03-15,45.6,%
Hemoglobin,2007-03-15,14.7,g/dL
Lipase,2007-03-15,14.0,U/L
Lymphocytes (Absolute),2007-03-15,4366.0,10^3/uL
MCH,2007-03-15,25.2,pg
MCHC,2007-03-15,32.2,g/dL
MCV,2007-03-15,78.0,fL
Magnesium,2007-03-15,2.1,mmol/L
Monocytes (Absolute),2007-03-15,296.0,10^3/uL
Neutrophils (Absolute),2007-03-15,2664.0,10^3/uL
Phosphorus,2007-03-15,6.0,mg/dL
Platelets,2007-03-15,0.319,10^3/uL
Potassium,2007-03-15,4.3,mmol/L
RBC,2007-03-15,5.84,10^6/uL
Sodium,2007-03-15,148.0,mmol/L
Total Bilirubin,2007-03-15,0.1,mg/dL
Total Protein,2007-03-15,7.9,g/dL
Triglycerides,2007-03-15,271.0,mg/dL
WBC,2007-03-15,0.0074,10^3/uL
% Basophils,2008-09-18,1.0,%
% Eosinophils,2008-09-18,1.0,%
% Lymphocytes,2008-09-18,56.0,%
% Monocytes,2008-09-18,4.0,%
% Neutrophils,2008-09-18,38.0,%
A:G Ratio,2008-09-18,1.6,
ALP,2008-09-18,167.0,U/L
ALT,2008-09-18,122.0,U/L
AST,2008-09-18,43.0,U/L
Albumin,2008-09-18,4.9,g/dL
Amylase,2008-09-18,174.0,U/L
BUN,2008-09-18,25.0,mg/dL
BUN:Creatinine Ratio,2008-09-18,36.0,
Basophils (Absolute),2008-09-18,68.0,10^3/uL
Calcium,2008-09-18,9.6,mg/dL
Chloride,2008-09-18,111.0,mmol/L
Cholesterol,2008-09-18,178.0,mg/dL
Creatine Kinase,2008-09-18,166.0,U/L
Creatinine,2008-09-18,0.7,mg/dL
Eosinophils (Absolute),2008-09-18,68.0,10^3/uL
Globulin,2008-09-18,3.1,g/dL
Glucose,2008-09-18,77.0,mg/dL
Hematocrit,2008-09-18,43.7,%
Hemoglobin,2008-09-18,13.4,g/dL
Lipase,2008-09-18,5.0,U/L
Lymphocytes (Absolute),2008-09-18,3808.0,10^3/uL
MCH,2008-09-18,25.1,pg
MCHC,2008-09-18,30.7,g/dL
MCV,2008-09-18,82.0,fL
Magnesium,2008-09-18,2.1,mmol/L
Monocytes (Absolute),2008-09-18,272.0,10^3/uL
Neutrophils (Absolute),2008-09-18,2584.0,10^3/uL
Phosphorus,2008-09-18,6.0,mg/dL
Platelets,2008-09-18,0.34,10^3/uL
Potassium,2008-09-18,4.5,mmol/L
RBC,2008-09-18,5.33,10^6/uL
Sodium,2008-09-18,148.0,mmol/L
Total Bilirubin,2008-09-18,0.2,mg/dL
Total Protein,2008-09-18,8.0,g/dL
Triglycerides,2008-09-18,156.0,mg/dL
WBC,2008-09-18,0.0068,10^3/uL
% Basophils,2011-06-09,0.0,%
% Eosinophils,2011-06-09,2.0,%
% Lymphocytes,2011-06-09,49.0,%
% Monocytes,2011-06-09,4.0,%
% Neutrophils,2011-06-09,45.0,%
A:G Ratio,2011-06-09,1.5,
ALP,2011-06-09,65.0,U/L
ALT,2011-06-09,102.0,U/L
AST,2011-06-09,56.0,U/L
Albumin,2011-06-09,4.8,g/dL
Amylase,2011-06-09,162.0,U/L
BUN,2011-06-09,15.0,mg/dL
BUN:Creatinine Ratio,2011-06-09,21.0,
Basophils (Absolute),2011-06-09,0.0,10^3/uL
Calcium,2011-06-09,9.1,mg/dL
Chloride,2011-06-09,113.0,mmol/L
Cholesterol,2011-06-09,182.0,mg/dL
Creatine Kinase,2011-06-09,1677.0,U/L
Creatinine,2011-06-09,0.7,mg/dL
Eosinophils (Absolute),2011-06-09,190.0,10^3/uL
Globulin,2011-06-09,3.2,g/dL
Glucose,2011-06-09,224.0,mg/dL
Hematocrit,2011-06-09,49.0,%
Hemoglobin,2011-06-09,15.1,g/dL
Lipase,2011-06-09,7.0,U/L
Lymphocytes (Absolute),2011-06-09,4.655,10^3/uL
MCH,2011-06-09,24.1,pg
MCHC,2011-06-09,30.8,g/dL
MCV,2011-06-09,78.0,fL
Magnesium,2011-06-09,2.0,mmol/L
Monocytes (Absolute),2011-06-09,380.0,10^3/uL
Na:K Ratio,2011-06-09,26.0,nan
